template_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,0.04668738492802847,0.4142957641031238,0.18890092273471712,0.050951888919919905,0.149249896280803,0.019550454063531328,0.05054985922197414,0.12258219428158568,0.04277758078671244,0.16005613797638835,1.0000000000000002,0.1299132325979579,0.0843737253515528,0.18191739996333794,0.1364136645137649,0.16997664042499144,0.16083089678394857,0.028874366737531847,0.028874366737531847,0.12537635637106898,0.08046879733838239
12,0.07320414172828738,0.1182551891788848,0.07072718663882573,0.24008212410174914,0.10404625989719664,0.030654409372582424,0.07926036261261708,0.6875796422761328,0.19959889937330838,0.4110021653041033,0.1299132325979579,1.0,0.24947320177214177,0.4105834035678443,0.765162177081707,0.11849545056190272,0.18096109633437749,0.027947085695358573,0.027947085695358573,0.13919400835317458,0.07788459554664663
13,0.03161793067852817,0.07680226758772826,0.030548097845802476,0.0345059654614098,0.044939088897458915,0.013240084066978517,0.034233700327263736,0.12482952880627414,0.05794021601314509,0.17751779700585707,0.0843737253515528,0.24947320177214177,1.0000000000000002,0.2156416795808718,0.1389145753491252,0.051179903938952345,0.026008755809435076,0.018150573930630985,0.018150573930630985,0.10039614438663093,0.05058309567360293
14,0.06327679270730735,0.16559265070534113,0.0611357420776459,0.06905660101120745,0.20228279572964078,0.02649730823473746,0.06851171827900235,0.1661392710069341,0.05797771959456804,0.4757461389899295,0.18191739996333794,0.4105834035678443,0.2156416795808718,1.0000000000000004,0.1848854714220589,0.23037436467767677,0.052051181548267274,0.1265484071744502,0.1265484071744502,0.3528974477135918,0.35267260483948465
15,0.07686703679866452,0.12417229085186944,0.07426614300337922,0.2520950458859022,0.10925239336821244,0.03218825544092266,0.08322629110567493,0.7219838716369931,0.20958617341691183,0.11716266867143166,0.1364136645137649,0.765162177081707,0.1389145753491252,0.1848854714220589,1.0,0.34381841419607884,0.30150801005986577,0.055026894240535876,0.055026894240535876,0.23122308190463547,0.1533522117057096
16,0.08580012998241487,0.15472342091320268,0.08289697363608081,0.09363725766431141,0.6630322212934785,0.03592900956976032,0.09289842424295547,0.11180872072681773,0.0,0.7110381939192681,0.16997664042499144,0.11849545056190272,0.051179903938952345,0.23037436467767677,0.34381841419607884,1.0,0.1950280372032868,0.0652315646448612,0.0652315646448612,0.21606566794714355,0.1817911922774731
17,0.04360216525205336,0.14639839025369994,0.4750860726327516,0.5143470624224435,0.061972480119149076,0.018258510947761673,0.04720939754201875,0.17074941347135786,0.07893522277955643,0.06645951572406775,0.16083089678394857,0.18096109633437749,0.026008755809435076,0.052051181548267274,0.30150801005986577,0.1950280372032868,1.0,0.022829257684084142,0.022829257684084142,0.07561705498103027,0.06362192898168144
18,0.010043444546666709,0.0262832633187899,0.009703611847337635,0.010960829605342108,0.0321068112768102,0.004205716416799175,0.010874344509129164,0.026370024206190206,0.009202362932389761,0.03443146255883847,0.028874366737531847,0.027947085695358573,0.018150573930630985,0.1265484071744502,0.055026894240535876,0.0652315646448612,0.022829257684084142,1.0000000000000002,0.023441601753309872,0.067127224392887,0.06532844574292478
19,0.010043444546666709,0.0262832633187899,0.009703611847337635,0.010960829605342108,0.0321068112768102,0.004205716416799175,0.010874344509129164,0.026370024206190206,0.009202362932389761,0.03443146255883847,0.028874366737531847,0.027947085695358573,0.018150573930630985,0.1265484071744502,0.055026894240535876,0.0652315646448612,0.022829257684084142,0.023441601753309872,1.0000000000000002,0.067127224392887,0.06532844574292478
20,0.03326677148217984,0.11412543930073135,0.03214114802717657,0.03630541414768341,0.1063469757615782,0.013930540095722926,0.03601895068199072,0.1313392533891094,0.06096173545748188,0.11404688813881707,0.12537635637106898,0.13919400835317458,0.10039614438663093,0.3528974477135918,0.23122308190463547,0.21606566794714355,0.07561705498103027,0.067127224392887,0.067127224392887,1.0000000000000002,0.18707412926698425
